School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
CHAMPAIGN EARLY CHLDHD CNTR,Illinois,1709420,61820,1-Regular school,2-No,2-No,2-No,317,229,†,190,127,13.00,24.38,170942000558,17
CHANA EDUC CENTER/ROCK RIVER,Illinois,1700081,61015,2-Special education school,2-No,2-No,2-No,39,21,20,29,10,7.00,5.57,170008106042,17
CHANEY-MONGE SCHOOL,Illinois,1709510,60403,1-Regular school,2-No,2-No,2-No,435,338,†,231,204,30.00,14.50,170951004940,17
CHANNAHON JUNIOR HIGH SCHOOL,Illinois,1709540,60410,1-Regular school,2-No,2-No,2-No,302,37,†,153,149,18.30,16.50,170954000562,17
CHANNING MEMORIAL ELEM SCHOOL,Illinois,1713710,60120,1-Regular school,2-No,2-No,2-No,437,390,†,229,208,21.50,20.33,171371001668,17
CHAPPELL ELEM SCHOOL,Illinois,1709930,60625,1-Regular school,2-No,2-No,2-No,554,354,†,303,251,37.50,14.77,170993000658,17
CHARLES A LINDBERGH MIDDLE SCHOOL,Illinois,1731230,61614,1-Regular school,2-No,2-No,2-No,230,114,†,112,118,24.33,9.45,173123005332,17
CHARLES J CARUSO MIDDLE SCHOOL,Illinois,1711980,60015,1-Regular school,2-No,2-No,2-No,484,4,†,236,248,52.41,9.23,171198001444,17
CHARLES J SAHS ELEM SCHOOL,Illinois,1737860,60638,1-Regular school,2-No,2-No,2-No,384,247,†,193,191,30.00,12.80,173786003888,17
CHARLES REED ELEMENTARY SCH,Illinois,1731740,60586,1-Regular school,2-No,2-No,2-No,531,179,†,279,252,39.07,13.59,173174005749,17
CHARLESTON HIGH SCHOOL,Illinois,1709600,61920,1-Regular school,2-No,2-No,2-No,811,322,811,415,396,44.46,18.24,170960000567,17
CHARLESTON MIDDLE SCHOOL,Illinois,1709600,61920,1-Regular school,2-No,2-No,2-No,380,185,†,188,192,25.72,14.77,170960000568,17
CHARTER OAK PRIMARY SCHOOL,Illinois,1731230,61615,1-Regular school,2-No,2-No,2-No,347,204,†,171,176,24.58,14.12,173123004422,17
CHASE ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,408,355,†,210,198,33.00,12.36,170993000659,17
CHATEAUX SCHOOL,Illinois,1724720,60429,1-Regular school,2-No,2-No,2-No,335,325,†,186,149,15.32,21.87,172472002680,17
CHATHAM ELEM SCHOOL,Illinois,1704920,62629,1-Regular school,2-No,2-No,2-No,588,135,†,297,291,32.38,18.16,170492000183,17
CHAUNCEY H DUKER SCHOOL,Illinois,1725290,60050,1-Regular school,2-No,2-No,2-No,438,191,†,229,209,34.90,12.55,172529004456,17
CHAVEZ ELEM MULTICULTURAL ACAD CT,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,931,918,†,462,469,55.50,16.77,170993000411,17
CHEBANSE ELEM SCHOOL,Illinois,1710410,60922,1-Regular school,2-No,2-No,2-No,362,150,†,172,190,23.40,15.47,171041001257,17
CHELSEA ELEM SCHOOL,Illinois,1715700,60423,1-Regular school,2-No,2-No,2-No,819,31,†,415,404,52.47,15.61,171570001880,17
CHEROKEE ELEM SCHOOL,Illinois,1721750,60045,1-Regular school,2-No,2-No,2-No,310,4,†,162,148,28.33,10.94,172175002447,17
CHERRY HILL ELEM AND EC CENTER,ILLINOIS,1728140,60451,1-Regular school,2-No,2-No,2-No,180,47,†,122,58,14.50,12.41,172814006375,17
CHERRY VALLEY ELEMENTARY SCHOOL,Illinois,1734510,61109,1-Regular school,2-No,2-No,2-No,641,313,†,326,315,36.45,17.59,173451003604,17
CHESAK ELEMENTARY SCHOOL,Illinois,1719830,60156,1-Regular school,2-No,2-No,2-No,960,157,†,514,446,61.00,15.74,171983004181,17
CHESTER ELEM SCHOOL,Illinois,1709810,62233,1-Regular school,2-No,2-No,2-No,660,362,†,345,315,39.20,16.84,170981000578,17
CHESTER HIGH SCHOOL,Illinois,1709810,62233,1-Regular school,2-No,2-No,2-No,332,128,332,164,168,23.50,14.13,170981000579,17
CHESTER-EAST LINCOLN ELEM SCHOOL,Illinois,1709850,62656,1-Regular school,2-No,2-No,2-No,295,116,†,146,149,21.00,14.05,170985000580,17
CHICAGO ACADEMY ELEM SCHOOL,Illinois,1709930,60634,1-Regular school,2-No,2-No,2-No,540,395,†,284,256,35.50,15.21,170993004286,17
CHICAGO ACADEMY HIGH SCHOOL,Illinois,1709930,60634,1-Regular school,2-No,2-No,2-No,559,447,559,264,295,34.50,16.20,170993005061,17
CHICAGO COLLEGIATE CHARTER SCHOOL,Illinois,1709930,60628,1-Regular school,1-Yes,2-No,2-No,376,314,84,204,172,27.00,13.93,170993006285,17
CHICAGO EXCEL ACADEMY HS,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,294,250,294,159,135,="0.00",†,170993006219,17
CHICAGO HS FOR AGRICULT SCIENCES,Illinois,1709930,60655,1-Regular school,2-No,1-Yes,2-No,761,303,761,389,372,45.00,16.91,170993005147,17
CHICAGO HS FOR THE ARTS,Illinois,1709930,60622,1-Regular school,2-No,1-Yes,2-No,611,226,611,191,420,="0.00",†,170993006058,17
CHICAGO MATH & SCI ELEM CHARTER,Illinois,1709930,60626,1-Regular school,1-Yes,1-Yes,2-No,604,550,357,309,295,="0.00",†,170993005092,17
CHICAGO MILITARY ACADEMY HS,Illinois,1709930,60653,1-Regular school,2-No,2-No,2-No,299,221,299,161,138,21.00,14.24,170993003487,17
CHICAGO TECHNOLOGY ACADEMY HS,Illinois,1709930,60608,1-Regular school,2-No,2-No,2-No,272,243,272,164,108,="0.00",†,170993006076,17
CHICAGO VIRTUAL CHARTER SCHOOL,Illinois,1709930,60607,1-Regular school,1-Yes,2-No,2-No,673,432,202,347,326,†,†,170993005894,17
CHICAGO VOCATIONAL CAREER ACAD HS,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,877,812,877,417,460,64.00,13.70,170993000943,17
CHIDDIX JR HIGH SCHOOL,Illinois,1728620,61761,1-Regular school,2-No,2-No,2-No,699,189,†,360,339,45.53,15.35,172862002996,17
CHILD SERVICE CENTER PRESCHOOL,Illinois,1704680,60505,1-Regular school,2-No,2-No,2-No,124,89,†,80,44,8.05,15.40,170468006188,17
CHILDS ELEM SCHOOL,Illinois,1732370,60472,1-Regular school,2-No,2-No,2-No,145,119,†,69,76,7.00,20.71,173237003373,17
CHILLICOTHE ELEMENTARY CENTER,Illinois,1719970,61523,1-Regular school,2-No,2-No,2-No,177,93,†,97,80,11.91,14.86,171997005426,17
CHILLICOTHE JR HIGH,Illinois,1719970,61523,1-Regular school,2-No,2-No,2-No,261,106,†,157,104,14.20,18.38,171997006015,17
CHIPPEWA ELEM SCHOOL,Illinois,1730570,60463,1-Regular school,2-No,2-No,2-No,189,11,†,111,78,15.02,12.58,173057003175,17
CHIPPEWA MIDDLE SCHOOL,Illinois,1712120,60016,1-Regular school,2-No,2-No,2-No,636,317,†,355,281,60.40,10.53,171212001462,17
CHOPIN ELEM SCHOOL,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,391,372,†,209,182,31.50,12.41,170993000697,17
CHRISMAN ELEM SCHOOL,Illinois,1713370,61924,1-Regular school,2-No,2-No,2-No,147,63,†,72,75,11.00,13.36,171337001629,17
CHRISMAN HIGH SCHOOL,Illinois,1713370,61924,1-Regular school,2-No,2-No,2-No,100,38,100,52,48,11.62,8.61,171337001630,17
CHRISMAN-SCOTTLAND JR HIGH SCHOOL,Illinois,1713370,61924,1-Regular school,2-No,2-No,2-No,75,36,†,36,39,5.39,13.91,171337003896,17
CHRISMONT SAFE SCHOOL,ILLINOIS,1700165,62075,4-Alternative/other school,2-No,2-No,2-No,17,14,12,11,6,="0.00",†,170016502368,17
CHRISTA MCAULIFFE SCHOOL,Illinois,1721270,60487,1-Regular school,2-No,2-No,2-No,545,76,†,290,255,38.00,14.34,172127005282,17
CHRISTOPHER ELEM SCHOOL,Illinois,1700217,62822,1-Regular school,2-No,2-No,2-No,553,370,†,281,272,24.63,22.45,170021703615,17
CHRISTOPHER ELEM SCHOOL,Illinois,1709930,60632,1-Regular school,2-No,2-No,2-No,373,341,†,194,179,36.50,10.22,170993004376,17
CHRISTOPHER HIGH,Illinois,1700217,62822,1-Regular school,2-No,2-No,2-No,252,153,252,134,118,17.38,14.50,170021703614,17
CHRISTOPHER HOUSE CHRT ES,Illinois,1709930,60639,1-Regular school,1-Yes,2-No,2-No,382,318,†,193,189,30.35,12.59,170993006311,17
CHURCHILL ELEM SCHOOL,Illinois,1730270,60543,1-Regular school,2-No,2-No,2-No,553,80,†,287,266,32.96,16.78,173027005365,17
CHURCHILL ELEM SCHOOL,Illinois,1716800,60137,1-Regular school,2-No,2-No,2-No,673,304,†,345,328,45.50,14.79,171680001983,17
CHURCHILL JR HIGH SCHOOL,Illinois,1716080,61401,1-Regular school,2-No,2-No,2-No,495,244,†,255,240,32.50,15.23,171608001917,17
CHURCHVILLE MIDDLE SCHOOL,Illinois,1713970,60126,1-Regular school,2-No,2-No,2-No,524,191,†,282,242,49.13,10.67,171397001741,17
CHUTE MIDDLE SCHOOL,Illinois,1714460,60202,1-Regular school,2-No,2-No,2-No,611,334,†,325,286,55.50,11.01,171446001786,17
CICERO EAST ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,753,743,†,356,397,47.80,15.75,171020001236,17
CICERO WEST ELEMENTARY SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,918,854,†,478,440,57.00,16.11,171020002479,17
CICS - AVALON/SOUTH SHORE,ILLINOIS,1709930,60619,1-Regular school,1-Yes,2-No,2-No,448,405,†,224,224,91.00,4.92,170993006507,17
CICS - BASIL CAMPUS,ILLINOIS,1709930,60609,1-Regular school,1-Yes,2-No,2-No,709,679,†,354,355,1.00,709.00,170993006488,17
CICS - BOND CAMPUS,ILLINOIS,1709930,60827,1-Regular school,1-Yes,2-No,2-No,367,360,†,185,182,15.82,23.20,170993006484,17
CICS - BUCKTOWN CAMPUS,ILLINOIS,1709930,60647,1-Regular school,1-Yes,2-No,2-No,676,508,†,353,323,43.00,15.72,170993006446,17
CICS - IRVING PARK CAMPUS,ILLINOIS,1709930,60618,1-Regular school,1-Yes,2-No,2-No,557,329,†,277,280,="0.00",†,170993006462,17
CICS - LONGWOOD CAMPUS,ILLINOIS,1709930,60643,1-Regular school,1-Yes,2-No,2-No,1285,1132,426,627,658,57.00,22.54,170993006438,17
CICS - LOOMIS PRIMARY CAMPUS,ILLINOIS,1709930,60643,1-Regular school,1-Yes,2-No,2-No,546,495,†,298,248,27.00,20.22,170993006487,17
CICS - NORTHTOWN  CAMPUS,ILLINOIS,1709930,60659,1-Regular school,1-Yes,2-No,2-No,920,710,920,494,426,70.00,13.14,170993006500,17
CICS - PRAIRIE CAMPUS,ILLINOIS,1709930,60628,1-Regular school,1-Yes,2-No,2-No,426,403,†,205,221,23.00,18.52,170993006498,17
CICS - QUEST NORTH CAMPUS,ILLINOIS,1709930,60610,1-Regular school,1-Yes,2-No,2-No,235,216,235,115,120,14.00,16.79,170993006472,17
CICS - RALPH ELLISON CAMPUS,ILLINOIS,1709930,60620,1-Regular school,1-Yes,2-No,2-No,346,320,346,161,185,18.00,19.22,170993006461,17
CICS - WASHINGTON PK CAMPUS,ILLINOIS,1709930,60637,1-Regular school,1-Yes,2-No,2-No,474,440,†,240,234,="0.00",†,170993006512,17
CICS - WEST BELDEN CAMPUS,ILLINOIS,1709930,60639,1-Regular school,1-Yes,2-No,2-No,530,454,†,261,269,34.20,15.50,170993006475,17
CICS - WRIGHTWOOD,ILLINOIS,1709930,60652,1-Regular school,1-Yes,2-No,2-No,750,658,†,379,371,39.00,19.23,170993006465,17
CIRCLE CENTER GRADE SCHOOL,Illinois,1743960,60560,1-Regular school,2-No,2-No,2-No,491,74,†,258,233,30.90,15.89,174396004362,17
CIRCUIT BREAKER SCHOOL,Illinois,1700228,61354,2-Special education school,2-No,2-No,2-No,55,40,13,46,9,9.00,6.11,170022804420,17
CISNE HIGH SCHOOL,Illinois,1710240,62823,1-Regular school,2-No,2-No,2-No,117,62,117,58,59,14.22,8.23,171024001246,17
CISNE MIDDLE SCHOOL,Illinois,1710240,62823,1-Regular school,2-No,2-No,2-No,108,57,†,53,55,10.78,10.02,171024001247,17
CISSNA PARK ELEMENTARY SCHOOL,Illinois,1710290,60924,1-Regular school,2-No,2-No,2-No,136,28,†,64,72,9.04,15.04,171029004573,17
CISSNA PARK JR HIGH SCHOOL,Illinois,1710290,60924,1-Regular school,2-No,2-No,2-No,69,19,†,36,33,3.59,19.22,171029004574,17
CISSNA PARK SR HIGH SCHOOL,Illinois,1710290,60924,1-Regular school,2-No,2-No,2-No,88,27,88,51,37,10.37,8.49,171029001250,17
CIVIC MEMORIAL HIGH SCHOOL,Illinois,1706120,62010,1-Regular school,2-No,2-No,2-No,754,281,754,400,354,48.50,15.55,170612000298,17
CLARA PETERSON ELEM SCHOOL,Illinois,1707650,60957,1-Regular school,2-No,2-No,2-No,331,181,†,185,146,23.90,13.85,170765005480,17
CLAREMONT ACADEMY ELEM SCHOOL,Illinois,1709930,60636,1-Regular school,2-No,2-No,2-No,460,439,†,236,224,31.50,14.60,170993005109,17
CLARENCE E CULVER SCHOOL,Illinois,1728500,60714,1-Regular school,2-No,2-No,2-No,600,286,†,313,287,54.06,11.10,172850002476,17
CLARENDON HILLS MIDDLE SCHOOL,Illinois,1719290,60514,1-Regular school,2-No,2-No,2-No,584,19,†,308,276,44.50,13.12,171929004036,17
CLARK  G R ELEM SCHOOL,Illinois,1709930,60644,1-Regular school,2-No,2-No,2-No,219,201,†,115,104,14.50,15.10,170993001210,17
CLARK ACAD PREP MAGNET HIGH SCHL,Illinois,1709930,60644,1-Regular school,2-No,1-Yes,2-No,516,394,516,243,273,35.50,14.54,170993005076,17
CLARK ELEMENTARY SCHOOL,Illinois,1736600,61080,1-Regular school,2-No,2-No,2-No,194,85,†,109,85,9.00,21.56,173660004430,17
CLAY ACADEMY,Illinois,1743330,60098,1-Regular school,2-No,2-No,2-No,64,37,19,57,7,12.21,5.24,174333005959,17
CLAY CITY ELEM SCHOOL,Illinois,1710340,62824,1-Regular school,2-No,2-No,2-No,194,127,†,108,86,14.20,13.66,171034004575,17
CLAY CITY HIGH SCHOOL,Illinois,1710340,62824,1-Regular school,2-No,2-No,2-No,51,30,51,26,25,5.41,9.43,171034001252,17
CLAY CITY JR HIGH SCHOOL,Illinois,1710340,62824,1-Regular school,2-No,2-No,2-No,85,54,†,42,43,6.29,13.51,171034001251,17
CLAY COURT,Illinois,1720280,62650,1-Regular school,2-No,2-No,2-No,6,†,1,5,1,3.00,2.00,172028002284,17
CLAY ELEM SCHOOL,Illinois,1709930,60633,1-Regular school,2-No,2-No,2-No,589,542,†,301,288,35.00,16.83,170993000661,17
CLEARMONT ELEM SCHOOL,Illinois,1713770,60007,1-Regular school,2-No,2-No,2-No,409,169,†,206,203,26.13,15.65,171377001711,17
CLEARVIEW ELEM SCHOOL,Illinois,1741250,60087,1-Regular school,2-No,2-No,2-No,515,398,†,250,265,31.00,16.61,174125004123,17
CLEMENTE COMMUNITY ACADEMY HS,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,697,611,697,366,331,57.00,12.23,170993001086,17
CLEVELAND ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,556,451,†,297,259,46.50,11.96,170993000663,17
CLIFFORD CRONE MIDDLE SCHOOL,Illinois,1741690,60564,1-Regular school,2-No,2-No,2-No,871,42,†,438,433,57.60,15.12,174169002093,17
CLIFFORD JOHNSON SCHOOL,Illinois,1742180,60555,1-Regular school,2-No,2-No,2-No,455,270,†,245,210,35.77,12.72,174218005526,17
CLIFFORD P CARLSON ELEM SCHOOL,Illinois,1734510,61114,1-Regular school,2-No,2-No,2-No,369,234,†,188,181,22.00,16.77,173451003559,17
CLINTON ELEM SCHOOL,Illinois,1713710,60177,1-Regular school,2-No,2-No,2-No,454,182,†,244,210,24.00,18.92,171371001669,17
CLINTON ELEM SCHOOL,Illinois,1709930,60659,1-Regular school,2-No,2-No,2-No,1152,1070,†,578,574,64.00,18.00,170993000664,17
CLINTON ELEM SCHOOL,Illinois,1710440,61727,1-Regular school,2-No,2-No,2-No,512,257,†,264,248,37.50,13.65,171044001263,17
CLINTON HIGH SCHOOL,Illinois,1710440,61727,1-Regular school,2-No,2-No,2-No,565,243,565,286,279,40.25,14.04,171044001260,17
CLINTON JR HIGH SCHOOL,Illinois,1710440,61727,1-Regular school,2-No,2-No,2-No,364,194,†,203,161,32.25,11.29,171044001261,17
CLINTON ROSETTE MIDDLE SCHOOL,ILLINOIS,1712000,60115,1-Regular school,2-No,2-No,2-No,609,393,†,297,312,33.46,18.20,171200006601,17
CLISSOLD ELEM SCHOOL,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,509,192,†,249,260,32.00,15.91,170993000665,17
CLNTON/MRN/WSHNGTN PRE-KIND PROG,Illinois,1700174,62864,4-Alternative/other school,2-No,2-No,2-No,37,3,†,20,17,="0.00",†,170017402456,17
CLOVERDALE  ELEM SCHOOL,Illinois,1710470,60188,1-Regular school,2-No,2-No,2-No,566,167,†,290,276,41.35,13.69,171047004033,17
COAL CITY EARLY CHILDHOOD CENTER,Illinois,1710530,60416,1-Regular school,2-No,2-No,2-No,404,132,†,212,192,25.26,15.99,171053006031,17
COAL CITY ELEM SCHOOL,Illinois,1710530,60416,1-Regular school,2-No,2-No,2-No,341,114,†,191,150,28.13,12.12,171053001270,17
COAL CITY HIGH SCHOOL,Illinois,1710530,60416,1-Regular school,2-No,2-No,2-No,685,164,684,357,328,42.74,16.03,171053001271,17
COAL CITY INTERMEDIATE SCHOOL,Illinois,1710530,60416,1-Regular school,2-No,2-No,2-No,326,89,†,169,157,19.12,17.05,171053004056,17
COAL CITY MIDDLE SCHOOL,Illinois,1710530,60416,1-Regular school,2-No,2-No,2-No,454,118,10,248,206,36.24,12.53,171053001272,17
COBDEN ELEM SCHOOL,Illinois,1710570,62920,1-Regular school,2-No,2-No,2-No,212,134,†,109,103,20.63,10.28,171057004576,17
COBDEN HIGH SCHOOL,Illinois,1710570,62920,1-Regular school,2-No,2-No,2-No,181,107,181,95,86,17.72,10.21,171057001274,17
COBDEN JR HIGH SCHOOL,Illinois,1710570,62920,1-Regular school,2-No,2-No,2-No,133,†,†,63,70,6.55,20.31,171057001273,17
COFFEEN ELEM SCHOOL,Illinois,1719200,62017,1-Regular school,2-No,2-No,2-No,220,136,†,107,113,13.69,16.07,171920002203,17
COLEMAN ELEM SCHOOL,Illinois,1713710,60120,1-Regular school,2-No,2-No,2-No,676,549,†,329,347,35.20,19.20,171371001670,17
COLEMON J ELEM ACADEMY,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,248,204,†,120,128,14.00,17.71,170993004016,17
COLENE HOOSE ELEM SCHOOL,Illinois,1728620,61761,1-Regular school,2-No,2-No,2-No,466,122,†,262,204,34.80,13.39,172862002997,17
COLES ELEM LANGUAGE ACADEMY,Illinois,1709930,60617,1-Regular school,2-No,1-Yes,2-No,389,362,†,203,186,26.00,14.96,170993000666,17
COLIN POWELL MIDDLE SCH,Illinois,1736300,60443,1-Regular school,2-No,2-No,2-No,659,463,†,350,309,48.04,13.72,173630005774,17
COLLINS ACADEMY HIGH SCHOOL,Illinois,1709930,60623,1-Regular school,2-No,2-No,2-No,218,211,218,120,98,24.00,9.08,170993005942,17
COLLINSVILLE HIGH SCHOOL,Illinois,1710650,62234,1-Regular school,2-No,2-No,2-No,1906,1033,1906,1008,898,118.18,16.13,171065001278,17
COLLINSVILLE MIDDLE SCHOOL,Illinois,1710650,62234,1-Regular school,2-No,2-No,2-No,951,578,†,517,434,62.14,15.30,171065001279,17
COLONA GRADE SCHOOL,Illinois,1710690,61241,1-Regular school,2-No,2-No,2-No,451,293,†,238,213,30.00,15.03,171069001293,17
COLONEL GEORGE ILES ELEM SCH,Illinois,1733000,62305,1-Regular school,2-No,2-No,2-No,589,401,†,312,277,40.91,14.40,173300005056,17
COLUMBIA CENTRAL SCHOOL,Illinois,1737680,60475,1-Regular school,2-No,2-No,2-No,651,498,1,318,333,51.00,12.76,173768003880,17
COLUMBIA EXPLORERS ELEM ACADEMY,Illinois,1709930,60632,1-Regular school,2-No,2-No,2-No,981,921,†,522,459,55.00,17.84,170993004277,17
COLUMBIA HIGH SCHOOL,Illinois,1710740,62236,1-Regular school,2-No,2-No,2-No,633,64,633,332,301,33.95,18.65,171074001295,17
COLUMBIA MIDDLE SCHOOL,Illinois,1710740,62236,1-Regular school,2-No,2-No,2-No,604,87,†,297,307,33.15,18.22,171074001294,17
COLUMBUS  EAST ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,346,334,†,172,174,26.75,12.93,171020001237,17
COLUMBUS ELEM SCHOOL,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,263,186,†,148,115,15.00,17.53,170993000669,17
COLUMBUS ELEM SCHOOL,Illinois,1713530,62025,1-Regular school,2-No,2-No,2-No,428,78,†,205,223,23.70,18.06,171353001638,17
COLUMBUS MANOR ELEM SCHOOL,Illinois,1733690,60453,1-Regular school,2-No,2-No,2-No,402,235,†,216,186,24.00,16.75,173369003464,17
COLUMBUS WEST ELEMENTARY SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,657,614,†,347,310,48.85,13.45,171020002480,17
COMM H S DIST 99 - NORTH H S,Illinois,1712570,60515,1-Regular school,2-No,2-No,2-No,2148,308,2148,1097,1051,143.35,14.98,171257001518,17
COMM H S DIST 99 - SOUTH HIGH SCH,Illinois,1712570,60516,1-Regular school,2-No,2-No,2-No,2765,772,2765,1449,1316,184.32,15.00,171257001519,17
COMMUNICATION DEV PROGRAM,ILLINOIS,1701392,60452,2-Special education school,2-No,2-No,2-No,1,†,†,1,†,–,†,170139206568,17
COMMUNITY CONS SCHOOL,Illinois,1731560,62274,1-Regular school,2-No,2-No,2-No,148,59,†,88,60,12.00,12.33,173156003324,17
COMMUNITY HIGH SCHOOL,Illinois,1740440,60185,1-Regular school,2-No,2-No,2-No,2007,722,2007,1016,991,125.00,16.06,174044004071,17
CONCORD ELEM SCHOOL,Illinois,1708790,60561,1-Regular school,2-No,2-No,2-No,473,72,†,238,235,32.20,14.69,170879000520,17
CONGERVILLE ELEM SCHOOL,Illinois,1714430,61729,1-Regular school,2-No,2-No,2-No,87,17,†,48,39,7.25,12.00,171443001779,17
CONGRESS PARK ELEM SCHOOL,Illinois,1721600,60513,1-Regular school,2-No,2-No,2-No,409,155,†,212,197,†,†,172160002420,17
CONKLIN ELEM SCHOOL,Illinois,1734510,61101,1-Regular school,2-No,2-No,2-No,308,240,†,155,153,22.10,13.94,173451003561,17
CONLEY ELEMENTARY SCHOOL,Illinois,1719830,60102,1-Regular school,2-No,2-No,2-No,675,91,†,331,344,44.00,15.34,171983005734,17
CONNOR SHAW CENTER,ILLINOIS,1731290,60468,1-Regular school,2-No,2-No,2-No,62,8,†,34,28,2.00,31.00,173129006314,17
CONRAD FISCHER ELEM SCHOOL,Illinois,1713970,60126,1-Regular school,2-No,2-No,2-No,463,292,†,219,244,36.50,12.68,171397001742,17
COOK CO JUVENILE DET -YORK ALT HS,Illinois,1709930,60608,1-Regular school,2-No,2-No,2-No,167,164,167,157,10,87.00,1.92,170993000693,17
COOK CO JUVENILE-JEFFERSON ALT HS,Illinois,1709930,60612,1-Regular school,2-No,2-No,2-No,183,145,174,168,15,="0.00",†,170993000894,17
COOK ELEM SCHOOL,Illinois,1709930,60620,1-Regular school,2-No,2-No,2-No,346,252,†,191,155,22.00,15.73,170993000672,17
COOLIDGE ELEMENTARY SCHOOL,Illinois,1722020,60438,1-Regular school,2-No,2-No,2-No,585,400,†,300,285,34.07,17.17,172202002467,17
COOLIDGE JUNIOR HIGH SCH,Illinois,1717280,62040,1-Regular school,2-No,2-No,2-No,905,501,†,475,430,43.10,21.00,171728002024,17
COOLIDGE MIDDLE SCHOOL,Illinois,1736750,60426,1-Regular school,2-No,2-No,2-No,591,589,†,294,297,45.50,12.99,173675003780,17
COOLIDGE RSSP,Illinois,1700204,61265,4-Alternative/other school,2-No,2-No,2-No,6,†,†,4,2,–,†,170020406201,17
COONLEY ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,1026,149,†,535,491,57.50,17.84,170993000674,17
COOP HS 1,Illinois,1706390,61814,1-Regular school,2-No,2-No,2-No,–,–,–,†,†,–,–,170639000309,17
COOP HS 7,ILLINOIS,1734870,60963,1-Regular school,2-No,2-No,2-No,–,–,–,†,†,–,–,173487006534,17
COOPER ELEM DUAL LANGUAGE ACADEMY,Illinois,1709930,60608,1-Regular school,2-No,1-Yes,2-No,418,397,†,231,187,31.00,13.48,170993000676,17
COOPER MIDDLE SCHOOL,Illinois,1742210,60089,1-Regular school,2-No,2-No,2-No,662,248,†,339,323,51.39,12.88,174221004230,17
COPE ALTERNATIVE SCHOOL,Illinois,1700190,62966,4-Alternative/other school,2-No,2-No,2-No,7,†,4,3,4,2.00,3.50,170019002866,17
COPELAND MANOR ELEM SCHOOL,Illinois,1722800,60048,1-Regular school,2-No,2-No,2-No,359,3,†,189,170,27.65,12.98,172280002527,17
CORETTA SCOTT KING MAGNET SCH,Illinois,1711250,60484,1-Regular school,2-No,1-Yes,2-No,282,142,†,154,128,23.00,12.26,171125001350,17
CORKERY ELEM SCHOOL,Illinois,1709930,60623,1-Regular school,2-No,2-No,2-No,467,437,†,244,223,34.50,13.54,170993000677,17
CORLISS HIGH SCHOOL,Illinois,1709930,60628,1-Regular school,2-No,2-No,2-No,272,248,272,142,130,20.50,13.27,170993001072,17
CORNELL ELEM SCHOOL,Illinois,1710860,61319,1-Regular school,2-No,2-No,2-No,116,57,†,59,57,12.70,9.13,171086001325,17
CORRON ELEMENTARY SCHOOL,Illinois,1737170,60177,1-Regular school,2-No,2-No,2-No,512,38,†,266,246,30.80,16.62,173717005707,17
CORTLAND ELEMENTARY SCHOOL,Illinois,1712000,60112,1-Regular school,2-No,2-No,2-No,508,297,†,265,243,35.53,14.30,171200000468,17
COSSITT AVE ELEM SCHOOL,Illinois,1721600,60525,1-Regular school,2-No,2-No,2-No,520,33,†,260,260,†,†,172160002421,17
COSTELLO SCHOOL,Illinois,1723850,60534,1-Regular school,2-No,2-No,2-No,302,229,†,136,166,27.20,11.10,172385003902,17
COTTAGE GROVE UPPER GRADE CENTER,Illinois,1710950,60411,1-Regular school,2-No,2-No,2-No,165,149,†,80,85,15.50,10.65,171095005419,17
COTTON CREEK SCHOOL,Illinois,1741190,60042,1-Regular school,2-No,2-No,2-No,592,187,†,309,283,42.89,13.80,174119001454,17
COULTERVILLE ELEMENTARY SCHOOL,Illinois,1710980,62237,1-Regular school,2-No,2-No,2-No,91,62,†,34,57,8.14,11.18,171098004583,17
COULTERVILLE HIGH SCHOOL,Illinois,1710980,62237,1-Regular school,2-No,2-No,2-No,53,33,53,27,26,5.41,9.80,171098001330,17
