School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ACERO CHTR - OFFICER MARQUEZ CMPS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,570,527,†,285,285,31.00,18.39,170993006497,17
ACERO CHTR - RUFINO TAMAYO CAMPUS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,288,265,†,145,143,15.00,19.20,170993006455,17
ACERO CHTR - SANDRA CISNEROS CMPS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,520,495,†,244,276,27.00,19.26,170993006436,17
ACERO CHTR - SPC ZIZUMBO CAMPUS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,626,548,†,293,333,29.50,21.22,170993006444,17
ACERO CHTR NETRK -  MAJOR GARCIA,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,618,577,618,331,287,38.00,16.26,170993006467,17
ACERO CHTR NETWORK - JOVITA IDAR,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,561,518,†,297,264,27.00,20.78,170993006505,17
ACERO CHTR NETWORK - PFC TORRESS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,608,535,†,322,286,32.00,19.00,170993006522,17
ACERO CHTR SCH NETWRK- VICTORIA,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,541,485,541,308,233,36.00,15.03,170993006483,17
ACERO CHTR-BRIGHTON PARK CAMPUS,ILLINOIS,1709930,60632,1-Regular school,1-Yes,2-No,2-No,560,534,†,279,281,31.00,18.06,170993006474,17
ACTIONS PROGRAM,ILLINOIS,1709420,61820,1-Regular school,2-No,2-No,2-No,†,†,†,†,†,6.00,†,170942006352,17
